title,url,offer_type,rating,review_count,old_price,new_price
Consola Xbox Series S All Digital 512gb Color Blanco,https://www.mercadolibre.com.mx/consola-xbox-series-s-all-digital-512gb-color-blanco/p/MLM16650345?pdp_filters=item_id%3AMLM2044701214#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=21&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM2044701214&sid=offers,MÁS VENDIDO,4.8,18994,0.0,5699.0
Smart Tv Pantalla 43 Pulgadas Cuory Android Tv Cuo-hdtv43 43'' Full Hd Led,https://www.mercadolibre.com.mx/smart-tv-pantalla-43-pulgadas-cuory-android-tv-cuo-hdtv43-43-full-hd-led/p/MLM37285283?pdp_filters=item_id%3AMLM2310222167#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=22&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM2310222167&sid=offers,MÁS VENDIDO,4.2,66,0.0,3299.0
Tenis adidas Casual Cloudfoam Comfy Hombre Negro Ih6129,https://articulo.mercadolibre.com.mx/MLM-2210810487-tenis-adidas-casual-cloudfoam-comfy-hombre-negro-ih6129-_JM#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=23&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03,na,4.8,85,0.0,779.0
"Ventilador De Torre Shawty® 40 Pulgadas 100cm Con Control Remoto, 5 Velocidades Temporizador 12h, Silencioso Y Portátil, Ideal Dormitorio, Oficina, Cocina",https://www.mercadolibre.com.mx/ventilador-de-torre-shawty-40-pulgadas-100cm-con-control-remoto-5-velocidades-temporizador-12h-silencioso-y-portatil-ideal-dormitorio-oficina-cocina/p/MLM45404628?pdp_filters=item_id%3AMLM3531932742#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=24&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM3531932742&sid=offers,MÁS VENDIDO,4.6,1691,0.0,969.0
Pocophone Poco M5s Dual Sim 256 Gb Gris 8 Gb Ram,https://www.mercadolibre.com.mx/pocophone-poco-m5s-dual-sim-256-gb-gris-8-gb-ram/p/MLM23428712?pdp_filters=item_id%3AMLM1909761623#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=25&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM1909761623&sid=offers,na,4.7,92498,0.0,2222.0
Cetaphil Limpiador Facial Diario Para Piel Grasa 473ml Limpia Y Elimina El Exceso De Grasa Sin Resecar La Piel Recomendada Por Dermatólogos Para Piel Sensible.,https://www.mercadolibre.com.mx/cetaphil-limpiador-facial-diario-para-piel-grasa-473ml-limpia-y-elimina-el-exceso-de-grasa-sin-resecar-la-piel-recomendada-por-dermatologos-para-piel-sensible/p/MLM24526150?pdp_filters=item_id%3AMLM1978503629#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=26&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM1978503629&sid=offers,na,4.8,2752,0.0,240.0
Parlante Jbl Partybox Club 120 Portatil Bluetooth Waterproof Negro,https://www.mercadolibre.com.mx/parlante-jbl-partybox-club-120-portatil-bluetooth-waterproof-negro/p/MLM44745015?pdp_filters=item_id%3AMLM3553415328#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=27&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM3553415328&sid=offers,MÁS VENDIDO,4.8,1157,0.0,5428.0
Jersey adidas Visitante Selección Nacional De México 24,https://articulo.mercadolibre.com.mx/MLM-2198364527-jersey-adidas-visitante-seleccion-nacional-de-mexico-24-_JM#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=28&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03,OFERTA RELÁMPAGO,4.8,52,0.0,699.0
Smart Tv Pantalla 32 Pulgadas Cuory Android Tv Dled Hd Bluetooth Dolby Audio,https://www.mercadolibre.com.mx/smart-tv-pantalla-32-pulgadas-cuory-android-tv-dled-hd-bluetooth-dolby-audio/p/MLM42692829?pdp_filters=item_id%3AMLM3690158642#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=29&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM3690158642&sid=offers,MÁS VENDIDO,4.6,50,0.0,2099.0
Tenis De Skateboarding Nike Sb Alleyoop,https://articulo.mercadolibre.com.mx/MLM-1508884776-tenis-de-skateboarding-nike-sb-alleyoop-_JM#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=30&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03,OFERTA RELÁMPAGO,4.7,3193,0.0,949.0
