title,offer_type,rating,review_count,old_price,new_price,JM,condition,review_index,review_text,review_likes,review_stars,review_date
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,39,"Me gustó mucho el dispositivo, hasta el momento no he tenido ningún inconveniente, todo funciona a la perfección y también había leído comentarios que decían que tenía problemas con la compañía bait pero yo no tuve ningún inconveniente me funcionó el chip llevo 2 días con el y no se me a quitado la señal ni nada de eso, en lo de la batería casi si me da 9 horas a 11 horas depende como lo usé, lo uso de manera básica cuando ya lo este ocupando más tiempo vendré a editar el comentario para decir cómo me va con la batería pero ahorita por el momento 10/10.",3,5,12 mar. 2025
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,40,"Super bonito, me encanta el equipo, lo único malo es que no me deja actualizar el sistema, ya que aparece una actualización y no la descarga de ahí en adelante todo lo demás al 100.",3,4,05 dic. 2024
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,41,"Me parece un celular espectacular, muy bueno para juegos y tambien para uso cotidiano. Recomendadisimo.",3,5,19 sep. 2024
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,42,,2,5,24 dic. 2024
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,43,"Una de las cámaras no tiene funcionalidad, ya lo cheque varias veces. Le tuve que instalar una aplicación aparte para poder poner un fondo animado de mi galería. Pero los juegos los corre muy bien. Aquí dejó unas fotos con macro y la ia cam, son las únicas lentes que si tienen función.",2,5,23 ene. 2025
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,44,Mi hijo está fascinado. La calida y precio. Encantados. Super recomendado!!! 👍👌.,2,5,13 ene. 2025
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,45,"Este celular es muy buena calidad, tengo pocos días con este, pero la verdad hay una gran diferencia de este celular con otros de la gama, los supera mucho. Las cámaras son muy buenas, para las personas en general, la cámara cumple cabalmente y supera las expectativas, claro no es una cámara de gama premium, pero si considero que es de alta calidad. Es muy potente este celular en cuestión de procesamiento, el rendimiento es muy alto, para los son gamers es un celular que les va a permitir jugar juegos demandantes. Celular muy fluido. Tiene muchas funciones interesanres y su diseño gamer es increíble. Lo recomiendo mucho, incluso, si no eres gamer.",2,5,20 ene. 2025
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,46,"Muy padre el diseño, cámara con buena resolución, ligero y rápido con muy buena capacidad, calidad de imagen 👌. A mi hijo le encanto porque ahora puede jugar al estilo gamer.",2,5,28 sep. 2024
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,47,Todo bien.,2,5,25 ago. 2024
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,48,Excelente.,2,5,24 ago. 2024
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,49,Ah pesar de ser marca desconocida. Se ve de buena calidad y robusto.,2,5,23 ago. 2024
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,50,Es un buen celular para vídeo juegos su cámara si se mira bien el aro led es personalizable no lo e probado mucho pero emule ps2 a resolución x3 en modo ahorro de energía y seguían estables los fps ya viene con la funda protector cargador con el cual puedes jugar sin que te moleste y el pin extractor lo encontré al último en la caja de la funda solo ay que abrirla por completo una cájita negra y cuenta con los tres modos de carga carga fría inteligente y hyper.,1,5,07 abr. 2025
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,51,,1,5,25 dic. 2024
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,52,La verdad se mira muy bien y para los juegos corre perfecto solo me parece que la batería se baja un poco rápido al estar jugando.,1,5,08 feb. 2025
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,53,"Todo exelente, me gusto mucho su diseño, la pila si rinde bien, para los que se preguntan si es compatible con las redes altan bait si es compatible, teléfono 100℅ recomendado.",1,5,19 mar. 2025
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,54,"Me encantó. Lo he probado en diferentes juegos(aún que no es compatible con warzone mobile) pero tiene un rendimiento excelente, la duración de la batería es lo que se espera y el diseño en físico superó por mucho las fotos.",1,5,16 ene. 2025
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,55,"Muy bueno, esta ligero , no decepciona recomendado ✨.",1,5,03 dic. 2024
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,56,Muy bien producto recomendado.,1,5,19 nov. 2024
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,57,"El producto es bueno, tiene buena calidad para el precio que tiene, lo unico malo es que la mica protectora se me rompio despues de dos semanas por dos impactos muy ligeros, pero cumplio su proposito.",1,5,18 may. 2025
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,58,"Esta excelente, sólo que la batería no duera mucho, de ahí en fuera todo bien.",1,5,18 may. 2025
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,59,Muy buen celular 100% recomendado.,1,5,17 may. 2025
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,60,"Una excelente opción si buscas costo/beneficio, tiene muchas opciones que no todas las marcas ofrecen, diseño bonito, lo único malo que le veo es que es un poco pesado a comparacion de otros teléfonos similares.",1,5,16 may. 2025
Infinix Gt 20 Pro 5g Dual Sim 256 Gb Azul 12 Gb Ram,MÁS VENDIDO,4.8,1309,0.0,5599.0,0,Nuevo,61,Bueno.,1,5,13 abr. 2025
